model,contrast,label_a,label_b,term,avg_tfidf_female,avg_tfidf_male,ATE_tfidf,sum_tf_female,sum_tf_male,tf_ratio_a_over_b,doc_share_female,doc_share_male,chi2,chi2_p,avg_tfidf_german,avg_tfidf_turkish,sum_tf_german,sum_tf_turkish,doc_share_german,doc_share_turkish
gemini,gender_female_vs_male,female,male,fachkraft,1.5540696121176039,0.07690241379551001,1.4771671983220938,485.0,24.0,20.208332532986145,0.7550000000000039,0.03999999999999999,802.7199352767993,1.3826093229208158e-176,,,,,,
gemini,gender_female_vs_male,female,male,gut,2.539592483939102,1.8005576341155554,0.7390348498235466,567.0,402.0,1.4104477601730154,0.21166666666666706,0.15833333333333338,75.50510849590434,3.644627149912623e-18,,,,,,
gemini,gender_female_vs_male,female,male,kauf-mann/-frau,0.40455230211294935,0.0,0.40455230211294935,61.0,0.0,61000001.0,0.10166666666666654,0.0,242.73138126776934,9.980590318887623e-55,,,,,,
gemini,gender_female_vs_male,female,male,veranstaltung,0.8755506174457597,0.5543879455442567,0.32116267190150294,229.0,145.0,1.5793103408323426,0.3266666666666665,0.22166666666666712,43.2796755717533,4.744865890667801e-11,,,,,,
gemini,gender_female_vs_male,female,male,weiterbildung,1.4034577437042055,1.1132913747527011,0.2901663689515044,474.0,376.0,1.2606382971791534,0.5049999999999981,0.4149999999999989,20.072685287468772,7.455389760571768e-06,,,,,,
gemini,gender_female_vs_male,female,male,geschäftsführung,0.552503638276776,0.28239074845257434,0.2701128898242016,90.0,46.0,1.9565217183364845,0.0899999999999999,0.04666666666666664,52.433678612933065,4.450262245517846e-13,,,,,,
gemini,gender_female_vs_male,female,male,organisation,1.6624453146227793,1.392518685389642,0.26992662923313726,659.0,552.0,1.1938405793589844,0.6483333333333348,0.5483333333333325,14.3099005753654,0.0001550472665168487,,,,,,
gemini,gender_female_vs_male,female,male,kommunikation,1.8974200886355759,1.6330480588692253,0.26437202976635055,689.0,593.0,1.161888701244707,0.5366666666666655,0.5049999999999981,11.878181680609618,0.0005679536261792567,,,,,,
gemini,gender_female_vs_male,female,male,grundkenntnisse,1.3668760991225437,1.1026603583127734,0.2642157408097703,388.0,313.0,1.2396166126529822,0.35166666666666624,0.30500000000000005,16.96106752701807,3.815424108857925e-05,,,,,,
gemini,gender_female_vs_male,female,male,koordination,1.504842981261929,1.2420532678949403,0.26278971336698875,607.0,501.0,1.2115768458850762,0.6683333333333352,0.5599999999999994,15.084319287130448,0.00010281380102979525,,,,,,
